isDGA,domain,host,subclass
legit,diarioweb,diarioweb.com.br,alexa
dga,mbxgrtsqcqpcucd,mbxgrtsqcqpcucd.mn,necurs
legit,cartitans,cartitans.com,legit
dga,mmxtkvqmmljp,mmxtkvqmmljp.ru,cryptolocker
legit,gold,gold.com.tr,alexa
legit,oaklandcc,oaklandcc.edu,legit
dga,obitpblfqmd,obitpblfqmd.ac,necurs
legit,tamilkey,tamilkey.ws,legit
dga,rniicdmmxtrww,rniicdmmxtrww.ru,cryptolocker
legit,chiba,chiba.jp,alexa
legit,vector4free,vector4free.com,alexa
dga,mbypfpmb2upm1s1s8m62774e3,mbypfpmb2upm1s1s8m62774e3.org,gameoverdga
dga,jbbmgqhehroytqkkbdutkjrod,jbbmgqhehroytqkkbdutkjrod.ru,goz
dga,xtwklldqbegqyldbynzaudlfmf,xtwklldqbegqyldbynzaudlfmf.ru,goz
legit,mysticscripts,mysticscripts.com,legit
dga,xq62d05rvs5n61v7oo20mce1,xq62d05rvs5n61v7oo20mce1.com,newgoz
dga,hqplfrowosoaqdcyhqrhiinofxc,hqplfrowosoaqdcyhqrhiinofxc.ru,goz
dga,gahwcphapbcmivxofebxwiayqw,gahwcphapbcmivxofebxwiayqw.ru,goz
legit,tiguanchina,tiguanchina.com,legit
legit,handmark,handmark.com,legit
dga,jtwqctbuukxzxskbgxspvhyhlj,jtwqctbuukxzxskbgxspvhyhlj.ru,goz
dga,yqhotxhpxmgpl,yqhotxhpxmgpl.ru,cryptolocker
legit,alibaba,alibaba.com,alexa
legit,webklik,webklik.nl,legit
dga,pzojtcmfatkwedeeikfljleu,pzojtcmfatkwedeeikfljleu.ru,goz
legit,bournemouth,bournemouth.gov.uk,legit
legit,teenie-pics,teenie-pics.com,legit
legit,audioaddict,audioaddict.com,legit
legit,gamexeon,gamexeon.com,legit
legit,hse,hse.ru,alexa
legit,spinnyverse,spinnyverse.com,legit
legit,zadtech,zadtech.com,alexa
legit,xywy,xywy.com,alexa
legit,freevoipdeal,freevoipdeal.com,legit
legit,nomellamesfriki,nomellamesfriki.com,legit
dga,darkfish,darkfish.net,nivdort
legit,registrarsdirectory,registrarsdirectory.com,legit
dga,dvmfojxcdaokvlrfcyugrukrs,dvmfojxcdaokvlrfcyugrukrs.ru,goz
dga,visitraise,visitraise.net,nivdort
dga,pwupifwfvillawngjmyx,pwupifwfvillawngjmyx.sh,necurs
dga,14iqo08vxg6q1naaixc1i8abv6,14iqo08vxg6q1naaixc1i8abv6.biz,newgoz
dga,mqx57510lf9ug1rj11ag1e0w1a0,mqx57510lf9ug1rj11ag1e0w1a0.biz,gameoverdga
dga,salthurry,salthurry.net,nivdort
dga,yrqhuylniyoarcw,yrqhuylniyoarcw.ru,cryptolocker
dga,nbr54vwu563h144sg011w1s2pf,nbr54vwu563h144sg011w1s2pf.net,newgoz
legit,ozmall,ozmall.co.jp,alexa
dga,bpfwgrpumxiqg,bpfwgrpumxiqg.ru,cryptolocker
legit,berklee,berklee.edu,alexa
dga,wvxotbnkuyyxrn,wvxotbnkuyyxrn.ru,cryptolocker
dga,fnrhfpvjjjpkputo,fnrhfpvjjjpkputo.pw,necurs
dga,xeajbrorswcamjnauzqypcqtd,xeajbrorswcamjnauzqypcqtd.ru,goz
dga,qfw3rsdf38pl1ft4nx912nu99v,qfw3rsdf38pl1ft4nx912nu99v.net,newgoz
legit,maximum-leverage,maximum-leverage.com,legit
legit,papalouie,papalouie.com,legit
legit,hupu,hupu.com,alexa
dga,4f78185082fc805c8b6c63880dfd3c99,4f78185082fc805c8b6c63880dfd3c99.org,bamital
legit,all-psy,all-psy.com,legit
legit,gafree,gafree.com,alexa
legit,kinomatrix,kinomatrix.com,legit
legit,nicotto,nicotto.jp,legit
legit,onaeg,onaeg.com,alexa
legit,releasewire,releasewire.com,alexa
legit,mcafee,mcafee.com,alexa
legit,fizgraphic,fizgraphic.com,legit
legit,nagariknews,nagariknews.com,alexa
legit,gamemoding,gamemoding.com,legit
dga,bqibmruvyohfdeq,bqibmruvyohfdeq.ru,cryptolocker
dga,dwo996i7rsboxrex5x1yx16o0,dwo996i7rsboxrex5x1yx16o0.net,gameoverdga
legit,cybershimla,cybershimla.com,legit
dga,mchddywgcwtgbf,mchddywgcwtgbf.ru,cryptolocker
dga,1p89i6314vxgfzze4sgd1u11hdg,1p89i6314vxgfzze4sgd1u11hdg.net,newgoz
legit,di,di.se,alexa
legit,allpoetry,allpoetry.com,alexa
legit,earn,earn-free-bitcoins.com,alexa
legit,wantitall,wantitall.co.za,legit
legit,minube,minube.com,alexa
legit,porntubefun,porntubefun.com,legit
dga,eygqldlpwymybnntn,eygqldlpwymybnntn.cx,necurs
dga,d28d3fd2898565081e589bf2e31202a6,d28d3fd2898565081e589bf2e31202a6.org,bamital
legit,tsb,tsb.co.uk,alexa
legit,domik,domik.ua,alexa
dga,kaqfrmkcixevp,kaqfrmkcixevp.ru,cryptolocker
dga,thenmarch,thenmarch.net,nivdort
dga,rl0jkj1e3pqqe7ycen11ilkyj9,rl0jkj1e3pqqe7ycen11ilkyj9.org,gameoverdga
legit,startupweekend,startupweekend.org,alexa
legit,02lu,02lu.com,alexa
dga,sqgpsiipwxhcixr,sqgpsiipwxhcixr.ru,cryptolocker
legit,xvideos-userporn,xvideos-userporn.com,legit
legit,dsogaming,dsogaming.com,alexa
legit,iranmeet,iranmeet.com,legit
legit,wm-center,wm-center.es,legit
dga,pvcmsxgaoncelffiptswp,pvcmsxgaoncelffiptswp.ru,goz
legit,business24,business24.ro,legit
dga,3cnpbx18xuwxg3j8um61pyzn7o,3cnpbx18xuwxg3j8um61pyzn7o.net,newgoz
dga,ietayieqigeibh,ietayieqigeibh.ru,cryptolocker
legit,atcomaart,atcomaart.com,legit
dga,ydtmtiwwbtiakx,ydtmtiwwbtiakx.co.uk,cryptolocker
legit,sekai,sekai-kabuka.com,alexa
